,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
80,9/19/17,57977,115451,243128,914,146
81,9/20/17,71222,150377,243309,1385,202
82,9/21/17,67799,152463,243503,1690,191
83,9/22/17,70192,163114,243715,2315,259
84,9/23/17,62748,165582,243967,4821,322
85,9/24/17,57503,148926,244277,3681,176
86,9/25/17,69271,156367,244551,1537,258
87,9/26/17,71566,156779,244809,1359,257
88,9/27/17,69942,147977,245051,1268,200
89,9/28/17,70951,148394,245299,1490,224
90,9/29/17,67246,141709,245558,1875,288
91,9/30/17,50200,113613,245923,2694,214
0,10/1/17,55503,139011,246193,3511,235
1,10/2/17,65509,141748,246402,1408,242
2,10/3/17,69105,135800,246566,1258,194
3,10/4/17,71453,150324,246742,1377,188
4,10/5/17,70173,150437,246893,1365,251
5,10/6/17,70249,148395,247025,2104,383
6,10/7/17,63630,153928,247206,4996,356
7,10/8/17,41039,100790,247336,2233,192
8,10/9/17,38390,78912,247453,594,84
9,10/10/17,74117,155978,247615,2016,312
10,10/11/17,63587,126748,247767,1146,161
11,10/12/17,61244,123433,247896,1070,169
12,10/13/17,67016,136608,248038,1768,308
13,10/14/17,58771,142476,248167,3680,347
14,10/15/17,56529,137364,248382,3381,276
15,10/16/17,61729,125800,248552,997,192
16,10/17/17,64480,122345,248712,1030,170
17,10/18/17,70233,147842,248878,1202,249
18,10/19/17,72311,143664,249016,1491,274
19,10/20/17,72174,157255,249162,2246,351
20,10/21/17,65872,169402,249378,5093,276
21,10/22/17,62148,153444,249596,4596,200
22,10/23/17,69273,143899,249825,1659,279
23,10/24/17,48077,95599,249930,466,82
24,10/25/17,71284,142007,250090,1133,246
25,10/26/17,64002,123419,250187,973,191
26,10/27/17,69265,139481,250319,1991,352
27,10/28/17,61345,143571,250499,4306,317
28,10/29/17,9537,20810,250556,213,8
29,10/30/17,49246,95502,250681,771,121
30,10/31/17,60242,115329,250892,1076,166
31,11/1/17,60772,111304,250975,717,125
32,11/2/17,70810,144455,251060,1485,291
33,11/3/17,71817,147055,251163,2275,335
34,11/4/17,53433,120119,251269,3086,243
35,11/5/17,34943,76281,251349,1263,80
36,11/6/17,57606,116318,251433,1052,133
37,11/7/17,36361,69588,251487,643,77
38,11/8/17,54211,107852,251537,597,95
39,11/9/17,58416,113119,251591,837,171
40,11/10/17,38432,74794,251614,425,82
41,11/11/17,28142,55350,251657,832,64
42,11/12/17,32471,73187,251699,1191,62
43,11/13/17,38752,72112,251751,314,47
44,11/14/17,52278,95328,251802,493,59
45,11/15/17,54230,104590,251842,524,70
46,11/16/17,49737,93532,251884,521,74
47,11/17/17,48989,93476,251928,712,74
48,11/18/17,27745,58136,251965,872,53
49,11/19/17,31597,66078,252008,1020,64
50,11/20/17,45120,85295,252041,501,49
51,11/21/17,52448,95288,252075,960,69
52,11/22/17,32297,69530,252103,458,64
53,11/23/17,13705,32527,252115,806,103
54,11/24/17,23723,64012,252151,1129,95
55,11/25/17,30510,73542,252184,1995,85
56,11/26/17,27180,60652,252227,904,63
57,11/27/17,46732,99410,252277,553,46
58,11/28/17,51166,97329,252316,455,58
59,11/29/17,55290,107040,252365,638,71
60,11/30/17,51699,97110,252414,509,83
61,12/1/17,50708,99868,252473,695,123
62,12/2/17,38922,83660,252514,1513,100
63,12/3/17,33728,77915,252561,1037,66
64,12/4/17,49630,92142,252618,649,63
65,12/5/17,41792,85008,252686,381,57
66,12/6/17,46335,87328,252724,368,55
67,12/7/17,45367,94653,252761,427,65
68,12/8/17,41330,81217,252791,443,58
69,12/9/17,10804,20955,252811,112,15
70,12/10/17,19815,43621,252830,287,26
71,12/11/17,41838,81071,252869,456,38
72,12/12/17,42620,88499,252915,262,42
73,12/13/17,32623,60051,252942,155,20
74,12/14/17,27494,49648,252960,134,10
75,12/15/17,22944,41598,252980,130,9
76,12/16/17,19060,38766,252992,240,24
77,12/17/17,22403,49790,253011,343,27
78,12/18/17,40168,79914,253054,409,34
79,12/19/17,49503,97301,253087,541,42
80,12/20/17,41461,78833,253142,422,40
81,12/21/17,37592,70297,253180,386,47
82,12/22/17,34338,62387,253212,506,23
83,12/23/17,9608,24205,253228,112,10
84,12/24/17,13215,37985,253250,492,39
85,12/25/17,6479,26767,253293,439,27
86,12/26/17,14113,32919,253324,220,29
87,12/27/17,16365,31793,253346,234,33
88,12/28/17,13419,34438,253365,121,17
89,12/29/17,13759,29284,253395,177,17
90,12/30/17,5956,13910,253407,53,10
91,12/31/17,6569,18326,253443,94,2
